# EUR/USD-Wochenkurse aus den offiziellen EZB-Referenzkursen (Euro foreign
# exchange reference rates, taeglich veroeffentlicht seit 1999). Wird NUR
# gelesen, von keinem Skript geschrieben - ueberlebt damit jeden Lauf von
# scripts/backfill_history.py, der price_history.csv komplett neu aufbaut.
#
# Zweck: Alpha Vantages FX_WEEKLY liefert USD/EUR erst ab 2014-11-21. Fuer
# alles davor bleiben die neun USD-Ticker und BTC-EUR sonst leer (#61) - der
# Backfill rechnet sie bewusst nicht mehr mit einem spaeteren Kurs um. Diese
# Datei schliesst genau diese Luecke, in TAEGLICHER Aufloesung, damit jeder
# Wochenschlusskurs mit dem Kurs SEINES Handelstags umgerechnet wird statt
# mit dem einer benachbarten Woche.
#
# Abdeckung: 2006-01-02 bis 2014-11-14 (2272 Handelstage), also bis einschliesslich
# ISO-KW 46/2014. Ab KW 47/2014 uebernimmt FX_WEEKLY - dort steht bewusst
# kein Eintrag, damit die API-Daten unangetastet bleiben.
#
# Spalten:
#   Date         ISO-Datum des EZB-Handelstags
#   EUR_pro_USD  Wie viele EUR ein USD kostet, also 1/(EUR/USD).
#                Die EZB veroeffentlicht USD je EUR - hier ist der Kehrwert
#                eingetragen, gerundet auf 6 Nachkommastellen.
#
# Quelle: European Central Bank, "Euro foreign exchange reference rates"
#   https://www.ecb.europa.eu/stats/eurofxref/eurofxref-hist.zip
# Erhoben am 2026-08-22 aus der in currencyconverter 0.18.21 (PyPI)
# gebuendelten Kopie dieser Datei, da der Direktabruf hier nicht moeglich war.
# Zur Kontrolle: 2008-07-15 = 1,5990 USD/EUR (historisches Hoch),
# 2011-05-04 = 1,4882, 2014-11-14 = 0.804117 EUR_pro_USD.
#
# Zeilen mit fuehrendem # werden uebersprungen.
Date,EUR_pro_USD
2006-05-05,0.788146
2006-05-08,0.783945
2006-05-09,0.787588
2006-05-10,0.782534
2006-05-11,0.786411
2006-05-12,0.774353
2006-05-15,0.779666
2006-05-16,0.780214
2006-05-17,0.776277
2006-05-18,0.783085
2006-05-19,0.783269
2006-05-22,0.784129
2006-05-23,0.778756
2006-05-24,0.778150
2006-05-25,0.784006
2006-05-26,0.781433
2006-05-29,0.783822
2006-05-30,0.778877
2006-05-31,0.777122
2006-06-01,0.785176
2006-06-02,0.780336
2006-06-05,0.771724
2006-06-06,0.778392
2006-06-07,0.781922
2006-06-08,0.785238
2006-06-09,0.789952
2006-06-12,0.795418
2006-06-13,0.795482
2006-06-14,0.795988
2006-06-15,0.793021
2006-06-16,0.790451
2006-06-19,0.794218
2006-06-20,0.797067
2006-06-21,0.791640
2006-06-22,0.794786
2006-06-23,0.799872
2006-06-26,0.796115
2006-06-27,0.795735
2006-06-28,0.795545
2006-06-29,0.798148
2006-06-30,0.786596
2006-07-03,0.781861
2006-07-04,0.781800
2006-07-05,0.781616
2006-07-06,0.785238
2006-07-07,0.782595
2006-07-10,0.784191
2006-07-11,0.785176
2006-07-12,0.786040
2006-07-13,0.787898
2006-07-14,0.789515
2006-07-17,0.797385
2006-07-18,0.798021
2006-07-19,0.801154
2006-07-20,0.790952
2006-07-21,0.788644
2006-07-24,0.791578
2006-07-25,0.791390
2006-07-26,0.794470
2006-07-27,0.785114
2006-07-28,0.789640
2006-07-31,0.783269
2006-08-01,0.783760
2006-08-02,0.781372
2006-08-03,0.782411
2006-08-04,0.781739
2006-08-07,0.778210
2006-08-08,0.778877
2006-08-09,0.776458
2006-08-10,0.777786
2006-08-11,0.782779
2006-08-14,0.786287
2006-08-15,0.785855
2006-08-16,0.781677
2006-08-17,0.776458
2006-08-18,0.781128
2006-08-21,0.774054
2006-08-22,0.780518
2006-08-23,0.780518
2006-08-24,0.779362
2006-08-25,0.783576
2006-08-28,0.781250
2006-08-29,0.780762
2006-08-30,0.780153
2006-08-31,0.778150
2006-09-01,0.780214
2006-09-04,0.778089
2006-09-05,0.780640
2006-09-06,0.781677
2006-09-07,0.785484
2006-09-08,0.786596
2006-09-11,0.786596
2006-09-12,0.786844
2006-09-13,0.788830
2006-09-14,0.785978
2006-09-15,0.788955
2006-09-18,0.789578
2006-09-19,0.790264
2006-09-20,0.788892
2006-09-21,0.785484
2006-09-22,0.780214
2006-09-25,0.783208
2006-09-26,0.787712
2006-09-27,0.788395
2006-09-28,0.786596
2006-09-29,0.789889
2006-10-02,0.788333
2006-10-03,0.785114
2006-10-04,0.788395
2006-10-05,0.786102
2006-10-06,0.789640
2006-10-09,0.793462
2006-10-10,0.797575
2006-10-11,0.797257
2006-10-12,0.798021
2006-10-13,0.796813
2006-10-16,0.799041
2006-10-17,0.798467
2006-10-18,0.797257
2006-10-19,0.796115
2006-10-20,0.792519
2006-10-23,0.796432
2006-10-24,0.797385
2006-10-25,0.794913
2006-10-26,0.790326
2006-10-27,0.788457
2006-10-30,0.786349
2006-10-31,0.787650
2006-11-01,0.783883
2006-11-02,0.783269
2006-11-03,0.783699
2006-11-06,0.787278
2006-11-07,0.784006
2006-11-08,0.782718
2006-11-09,0.781494
2006-11-10,0.777363
2006-11-13,0.779423
2006-11-14,0.779788
2006-11-15,0.781739
2006-11-16,0.781006
2006-11-17,0.782840
2006-11-20,0.778756
2006-11-21,0.780396
2006-11-22,0.776036
2006-11-23,0.772022
2006-11-24,0.764643
2006-11-27,0.762544
2006-11-28,0.760630
2006-11-29,0.760052
2006-11-30,0.757576
2006-12-01,0.755059
2006-12-04,0.751371
2006-12-05,0.750131
2006-12-06,0.753352
2006-12-07,0.752049
2006-12-08,0.753239
2006-12-11,0.758898
2006-12-12,0.755059
2006-12-13,0.753864
2006-12-14,0.758035
2006-12-15,0.763009
2006-12-18,0.763650
2006-12-19,0.759994
2006-12-20,0.757404
2006-12-21,0.758840
2006-12-22,0.758035
2006-12-27,0.759936
2006-12-28,0.759129
2006-12-29,0.759301
2007-01-02,0.753580
2007-01-03,0.755801
2007-01-04,0.763009
2007-01-05,0.764292
2007-01-08,0.768876
2007-01-09,0.768167
2007-01-10,0.769941
2007-01-11,0.770179
2007-01-12,0.775615
2007-01-15,0.772738
2007-01-16,0.772022
2007-01-17,0.774653
2007-01-18,0.773874
2007-01-19,0.771724
2007-01-22,0.773036
2007-01-23,0.766871
